Erreur_détectée	Correction_proposée	Contexte	Fichier
parcequ	parce	-dire que vend - va ne devint un grand prince que parcequmiranc l’action du ciel ou la conduite de la provi	5419000.txt
qu	que	érez d’une vue générale vous la trouverez f vaste que’elle remplit la terre et influe fur toutes les p	5419000.txt
qu	que	 productions et fur leurs accroissement fi élevée que’elle touche jusquau r ii ij) 8 le juste milieu c	5419000.txt
jusquau	jusqu'au	fur leurs accroissement fi élevée que’elle touche jusquauu r ii ij) 8 le juste milieu ciel et semble partic	5419000.txt
ii	ici	ccroissement fi élevée que’elle touche jusqu'au r iii ij) 8 le juste milieu ciel et semble participer 	5419000.txt
ij	id	issement fi élevée que’elle touche jusqu'au r ici ij) 8 le juste milieu ciel et semble participer à te	5419000.txt
qu	que	rations vous la trouverez fi active et fi féconde que’elle prétend à toutes les étions de la vie humai	5419000.txt
qu	que	 prétend à toutes les étions de la vie humaine et que’elle les dirige toutes félon les trois cents reg	5419000.txt
regles	règles	 que’elle les dirige toutes félon les trois cents regles de l’honnêteté et conformément aux trois mille rè	5419000.txt
qu	que	anité enfermées dans les livres des rats en sorte que’elle met dans toute fa vie le plus bel ordre et 	5419000.txt
qu	que	a terre une vie conforme à ce beau modèle il faut que’il existe un homme qui possede la vraie science 	5419000.txt
possede	possède	ce beau modèle il faut que’il existe un homme qui possede la vraie science et la vraie vertu au plus haut d	5419000.txt
eft	est	science et la vraie vertu au plus haut degré et c’eft pour cela que l’on dit ce h n’y aura d’obfercc na	5419000.txt
obfercc	obère	é et c’est pour cela que l’on dit ce h n’y aura d’obferccation parfaite de la souveraine a loi que lorsque 	5419000.txt
qu	que	 cultive la faculté naturelle de la droite raison que’il a reçue du ciel et ne marche qu’à la lumière 	5419000.txt
qu	que	droite raison que’il a reçue du ciel et ne marche que’à la lumière de la science qu’il acquiert par la	5419000.txt
qu	que	 ciel et ne marche que’à la lumière de la science que’il acquiert par la droite raison il remplit la v	5419000.txt
fon	Fond	 la droite raison il remplit la vaste capacité de fond coeur de toutes les especes de sentiments d’équi	5419000.txt
especes	espèces	lit la vaste capacité de Fond coeur de toutes les especes de sentiments d’équité par le moyen de la science	5419000.txt
qu	que	bannit toutes cupidité vicieuses et ne permet pas que’elles obfcurcifsentla clarté naturelle de fon es	5419000.txt
obfcurcifsentla	Pas de correction trouvée	tes cupidité vicieuses et ne permet pas que’elles obfcurcifsentla clarté naturelle de fon esprit affranchi de toute	5419000.txt
fon	Fond	pas que’elles obfcurcifsentla clarté naturelle de fond esprit affranchi de toute cupidité vicieuse il e	5419000.txt
ia	la	ffranchi de toute cupidité vicieuse il entre dans ia voie du juste milieu marchant dans la voie du jus	5419000.txt
qu	que	xerce tous les jours dans la pratique des devoirs que’il connaît et en découvre tous les jours de nouv	5419000.txt
qu	que	ifié par cette connaissance il suit exactement ce que’il a le juste milieu loi commencé et acquiert pa	5419000.txt
qu	que	et pour exécuter des actes de justice et de vertu que’il n’avoit point encore tentés voilà pourquoi da	5419000.txt
qu	que	nt encore tentés voilà pourquoi dans quelque état que’il fac trouve il ne fait rien de contraire à la 	5419000.txt
fac	flac	re tentés voilà pourquoi dans quelque état que’il facc trouve il ne fait rien de contraire à la droite 	5419000.txt
eft	est	 les derniers rangs des conditions inférieures il eft également inaccessible à l’infoleuceet à l’abatte	5419000.txt
infoleuceet	Pas de correction trouvée	ons inférieures il est également inaccessible à l’infoleuceet à l’abattement à l’orgueil quite complaît dans fo	5419000.txt
quite	quitte	ssible à l’infoleuceet à l’abattement à l’orgueil quitee complaît dans fon élévation et à l’ambition qui 	5419000.txt
fon	Fond	t à l’abattement à l’orgueil quitte complaît dans fond élévation et à l’ambition qui efforce de sortir 	5419000.txt
obfacurité	obscurité	vation et à l’ambition qui efforce de sortir de l’obfacuritéou de élever zoo le juste milieu si la vertu fleur	5419000.txt
qu	que	 juste milieu si la vertu fleurie dans le royaume que’il habite il parle on l’écoute et l’on n’a pas p	5419000.txt
qu	que	coute et l’on n’a pas plutôt entendu les discours que’il cet élevé aux dit unités o si au contraire le	5419000.txt
qu	que	élevé aux dit unités o si au contraire le royaume que’il habite eft fans vertu et fans loin il fe tait	5419000.txt
eft	est	unités o si au contraire le royaume que’il habite eft fans vertu et fans loin il fe tait et fon silence	5419000.txt
fon	Fond	 habite est fans vertu et fans loin il fe tait et fond silence furetant à fa fureté il occupe tout enti	5419000.txt
thinking	timing	pe tout entier de lui-même et de fa perfection le thinkingour célébrer un face ministre de l’empereur dit ce	5419000.txt
lorfqu	lorsqu	r dit ce ce héros était doué de tant de face cité lorfqu’il fallait délibérer ce et de tant de prudence lo	5419000.txt
lorfqu	lorsqu	qu’il fallait délibérer ce et de tant de prudence lorfqu’il a fallait agir quil sut fe conserver le juste 	5419000.txt
quil	qu'il	e et de tant de prudence lorsqu’il a fallait agir quill sut fe conserver le juste milieu sj a fait et fa	5419000.txt
sj	SE	llait agir qu'il sut fe conserver le juste milieu sj a fait et faut au milieu des périls a les infecté	5419000.txt
of	off	les places fans discernement l’homme de néant qui off s’arroger follement une autorité ou des prérogat	5419000.txt
auflîbien	oedipien	es qui ont été ordonnés par les anciens empereurs auflîbienque les caractères des lettres et des loin des rit	5419000.txt
jufqu	jusqu	 les caractères des lettres et des loin des rites jufqu’ici aucun empereur n’a of les changer que celui q	5419000.txt
of	off	t des loin des rites jusqu’ici aucun empereur n’a off les changer que celui qui cet empereur n’entrepr	5419000.txt
lamu	lama	ntreprenne de changer rien dans les rites et dans lamu’fique sil n’a pas la vertu des faces et que celui	5419000.txt
eft	est	e sil n’a pas la vertu des faces et que celui qui eft face fe garde bien de vouloir le juste milieu 10 	5419000.txt
eft	est	nger rien dans les rites ou dans la musique sil n’eft empereur je loue et je regrette les loin de la dy	5419000.txt
hia	hua	e loue et je regrette les loin de la dynastie des hia qui florifsoient sous le reine de yn mais nous ne	5419000.txt
florifsoient	Pas de correction trouvée	t je regrette les loin de la dynastie des hua qui florifsoient sous le reine de yn mais nous ne connaissons de c	5419000.txt
yn	yin	ynastie des hua qui florifsoient sous le reine de ynn mais nous ne connaissons de cet empire que le pe	5419000.txt
ki	kif	connaissons de cet empire que le petit royaume de kif qui ne con ferme  rien des annales de les ancien	5419000.txt
lesloin	les loin	 je ne peux connaître avec certitude les rites et lesloinn établies sous cette dynastie ni par conséquent l	5419000.txt
yn	yin	couvent et j’apprends les loin de la dynastie des ynn florissantes sous l’empereur chun-tam 5 tome ii 	5419000.txt
chun	chu	 la dynastie des yin florissantes sous l’empereur chuntam 5 tome ii s 106 le juste milieu et quoique cet	5419000.txt
ii	ici	s yin florissantes sous l’empereur chu-tam 5 tome iii s 106 le juste milieu et quoique cette dynastie 	5419000.txt
fubftfte	Pas de correction trouvée	i s 106 le juste milieu et quoique cette dynastie fubftfte encore dans le petit royaume de sum qui conserve 	5419000.txt
sum	Sun	dynastie fubftfte encore dans le petit royaume de sum qui conserve les annales de tes anciens empereurs	5419000.txt
fubfiftent	Pas de correction trouvée	nserve les annales de tes anciens empereurs et où fubfiftent quelques familles des anciens pages élevés au min	5419000.txt
ministere	ministère	ent quelques familles des anciens pages élevés au ministere cependant comme ces loin et ces rites étaient ada	5419000.txt
ven	vend	astie des chou portées par les très pages princes vend-vam et vu-vam comme elles sont encore aujourdhui	5419000.txt
vam	van	portées par les très pages princes vend-vam et vu-vam comme elles sont encore aujourdhui gravées fur de	5419000.txt
aujourdhui	aujourd'hui	rinces vend-vam et vu-van comme elles sont encore aujourdhuii gravées fur des tables transmises et enseignées 	5419000.txt
my	m'y	s apprendre et de les avoir je les pratique et je myy conforme ainsi les peuples feront peu de fautes 	5419000.txt
fcrupuleufe	scrupuleuse	eront peu de fautes fi l’empereur veille avec une fcrupuleufe attention et une fever exactitude fur trois point	5419000.txt
fever	févier	reur veille avec une scrupuleuse attention et une feverr exactitude fur trois points de la dernière impor	5419000.txt
établifsement	établissement	 bien régler ces trois objets et pour en rendre l’établifsement durable la dignité la vertu et le temps il n’y a 	5419000.txt
éloiguement	éloignement	et ils établirent de pages loin cependant comme l’éloiguement des temps rend très difficile la preuve de l’auth	5419000.txt
qu	que	ès difficile la preuve de l’authenticité des loin que’on leur attribue les peuples faute de preuves qu	5419000.txt
propofol	profit	 ces loin et ne veulent pas les suivre si un face propofol’excellentes loin et qu’il ne fût que particulier 	5419000.txt
qu	que	es suivre si un face profit d’excellentes loin et que’il ne fût que particulier les peuples douteraien	5419000.txt
qu	que	n et refuseraient de fe soumettre aux changements que’il proposerait ainsi un empereur qui entreprend 	5419000.txt
oj	oh	d de fixer par des loin les rites le juste milieu!oj les figures des édifices se les caractères des le	5419000.txt
qu	que	 sil veut que le peuple les fuite il faut ensuite que’il conforme fou administration à celle des trois	5419000.txt
hia	hua	me fou administration à celle des trois empereurs hia chun et chez en suivant ces guides il ne séparera	5419000.txt
chun	chu	ou administration à celle des trois empereurs hua chunet chez en suivant ces guides il ne séparera pas i	5419000.txt
qu	que	 en suivant ces guides il ne séparera pas il faut que’avant d’agir il consulte la droite raison j en s	5419000.txt
qu	que	ns il ne fera rien qui fait répréhensible il faut que’il mérite l’approbation de l’efprit qui produit 	5419000.txt
qu	que	 ne sera ni incertain ni chancelant enfin il faut que’il fe conduire de s ii bio le juste mi lieu mani	5419000.txt
ii	ici	 chancelant enfin il faut que’il fe conduire de s iii bio le juste mi lieu manière qu’il puisse espére	5419000.txt
bio	brio	ncelant enfin il faut que’il fe conduire de s ici bioo le juste mi lieu manière qu’il puisse espérer qu	5419000.txt
qu	que	e conduire de s ici brio le juste mi lieu manière que’il puisse espérer qu’un homme parvenu au plus ha	5419000.txt
qu	que	io le juste mi lieu manière que’il puisse espérer que’un homme parvenu au plus haut degré de la vraie 	5419000.txt
siecles	siècles	raie vertu qui paraîtra après une longue suite de siecles fera ce qu’il fait alors il peut compter qu’il ne	5419000.txt
qu	que	araîtra après une longue suite de siècles fera ce que’il fait alors il peut compter qu’il ne fe trompe	5419000.txt
qu	que	siècles fera ce que’il fait alors il peut compter que’il ne fe trompera pas en effet celui qui n’eft n	5419000.txt
eft	est	er que’il ne fe trompera pas en effet celui qui n’eft ni chancelant ni incertain dans fa conduite parce	5419000.txt
parcequ	parce	n’est ni chancelant ni incertain dans fa conduite parcequl a obtenu le témoignage de l’efprit qui produit e	5419000.txt
connait	connaît	l’esprit qui produit et qui détruit celui-là dise connait le ciel et il connaît les hommes lorfqu’il fe con	5419000.txt
lorfqu	lorsqu	-là dise connaît le ciel et il connaît les hommes lorfqu’il fe conduit de manière qu’il peut espérer qu’un	5419000.txt
